#:unix_secs,dpkts,doctets,srcaddr,dstaddr,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1631187457,1,52,3064463635,2117344802,1368,1368,58856,443,6,0,17,1
1631187457,1,60,2117344802,3064463635,1368,1368,443,59260,6,0,18,1
1631187457,1,60,2117344802,3064463635,1368,1368,443,59660,6,0,18,1
1631187457,1,52,3064463635,2117344802,1368,1368,60056,443,6,0,17,1
1631187457,1,52,3064463635,2117344802,1368,1368,60456,443,6,0,17,1
1631187457,1,60,2117344802,3064463635,1368,1368,443,60860,6,0,18,1
1631187457,1,701,3064463631,2117344795,1368,1368,37482,443,6,0,24,1
1631187457,1,52,3064463631,2117344795,1368,1368,37878,443,6,0,17,1
1631187457,1,52,3064463631,2117344795,1368,1368,38278,443,6,0,17,1
1631187457,1,952,3064463631,2117344795,1368,1368,38682,443,6,0,24,1
1631187457,1,52,2117344795,3064463631,1368,1368,443,39078,6,0,16,1
1631187457,1,60,2117344795,3064463631,1368,1368,443,39482,6,0,18,1
1631187457,1,60,2117344795,3064463631,1368,1368,443,39882,6,0,18,1
1631187457,1,60,2117344795,3064463631,1368,1368,443,40282,6,0,18,1
1631187457,1,52,3064463631,2117344795,1368,1368,40678,443,6,0,17,1
1631187457,1,52,2117344896,3064463628,1368,1368,80,44666,6,0,16,1
1631187457,1,52,3064463631,2117344795,1368,1368,41480,443,6,0,16,1
1631187457,1,52,2117344795,3064463631,1368,1368,443,41874,6,0,17,1
1631187457,1,52,2117344795,3064463631,1368,1368,443,42276,6,0,16,1
1631187457,1,52,2117344795,3064463631,1368,1368,443,42674,6,0,17,1
1631187457,1,52,2117344896,3064463628,1368,1368,80,46668,6,0,17,1
1631187457,1,52,2117344896,3064463628,1368,1368,80,47070,6,0,16,1
1631187457,1,52,2117344896,3064463628,1368,1368,80,47472,6,0,16,1
1631187457,1,52,3064463628,2117344896,1368,1368,47872,80,6,0,16,1
1631187457,1,60,2117344795,3064463631,1368,1368,443,44680,6,0,18,1
1631187457,1,52,3064463631,2117344795,1368,1368,45060,443,6,0,17,1
1631187457,1,60,2117344795,3064463631,1368,1368,443,45478,6,0,18,1
1631187469,1,853,3064463631,2117344795,1368,1368,45878,443,6,0,24,1
1631187469,1,52,3064463628,2117344896,1368,1368,49868,80,6,0,16,1
1631187469,1,684,2117344795,3064463631,1368,1368,443,46672,6,0,24,1
1631187469,1,52,2117344802,3064463635,1368,1368,443,42610,6,0,17,1
1631187469,1,60,2117344795,3064463631,1368,1368,443,47478,6,0,18,1
1631187469,1,52,3064463635,2117344802,1368,1368,43418,443,6,0,16,1
1631187469,1,52,2117344802,3064463635,1368,1368,443,43814,6,0,17,1
1631187469,1,52,3064463631,2117344795,1368,1368,48672,443,6,0,16,1
